Sr No.,Name,URL
1,Holiday Inn New Delhi Mayur Vihar Noida,https://www.tripadvisor.in/Hotel_Review-g304551-d2137617-Reviews-Holiday_Inn_New_Delhi_Mayur_Vihar_Noida-New_Delhi_National_Capital_Territory_of_Delhi.html
2,Vivanta by Taj - Dwarka,https://www.tripadvisor.in/Hotel_Review-g304551-d7891473-Reviews-Vivanta_by_Taj_Dwarka-New_Delhi_National_Capital_Territory_of_Delhi.html
3,Red Fox Hotel - Delhi Airport,https://www.tripadvisor.in/Hotel_Review-g304551-d3507485-Reviews-Red_Fox_Hotel_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html
4,JW Marriott Hotel New Delhi Aerocity,https://www.tripadvisor.in/Hotel_Review-g304551-d4451234-Reviews-JW_Marriott_Hotel_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html
5,Roseate House New Delhi,https://www.tripadvisor.in/Hotel_Review-g304551-d11561000-Reviews-Roseate_House_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
6,BEST WESTERN PLUS Pioneer Square Hotel,https://www.tripadvisor.in/Hotel_Review-g60878-d72572-Reviews-BEST_WESTERN_PLUS_Pioneer_Square_Hotel-Seattle_Washington.html
7,BEST WESTERN Loyal Inn,https://www.tripadvisor.in/Hotel_Review-g60878-d72579-Reviews-BEST_WESTERN_Loyal_Inn-Seattle_Washington.html
8,BEST WESTERN PLUS Executive Inn,https://www.tripadvisor.in/Hotel_Review-g60878-d72586-Reviews-BEST_WESTERN_PLUS_Executive_Inn-Seattle_Washington.html
9,Comfort Inn & Suites Seattle,https://www.tripadvisor.in/Hotel_Review-g60878-d72598-Reviews-Comfort_Inn_Suites_Seattle-Seattle_Washington.html
10,Christopher's Inn,https://www.tripadvisor.in/Hotel_Review-g32143-d73393-Reviews-Christopher_s_Inn-Calistoga_Napa_Valley_California.html
11,BEST WESTERN Market Center,https://www.tripadvisor.in/Hotel_Review-g55711-d73644-Reviews-BEST_WESTERN_Market_Center-Dallas_Texas.html
12,BEST WESTERN Airport Inn,https://www.tripadvisor.in/Hotel_Review-g31310-d73706-Reviews-BEST_WESTERN_Airport_Inn-Phoenix_Arizona.html
13,Super 8 Phoenix,https://www.tripadvisor.in/Hotel_Review-g31310-d73712-Reviews-Super_8_Phoenix-Phoenix_Arizona.html
14,Lexington Hotel Central Phoenix,https://www.tripadvisor.in/Hotel_Review-g31310-d73718-Reviews-Lexington_Hotel_Central_Phoenix-Phoenix_Arizona.html
15,Grace Inn Phoenix,https://www.tripadvisor.in/Hotel_Review-g31310-d73727-Reviews-Grace_Inn_Phoenix-Phoenix_Arizona.html
16,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,https://www.tripadvisor.in/Hotel_Review-g31310-d73739-Reviews-BEST_WESTERN_PLUS_InnSuites_Phoenix_Hotel_Suites-Phoenix_Arizona.html
17,A Victory Inn & Suites Phoenix North,https://www.tripadvisor.in/Hotel_Review-g31310-d73743-Reviews-A_Victory_Inn_Suites_Phoenix_North-Phoenix_Arizona.html
18,Courtyard by Marriott Phoenix North,https://www.tripadvisor.in/Hotel_Review-g31310-d73751-Reviews-Courtyard_by_Marriott_Phoenix_North-Phoenix_Arizona.html
19,Renaissance Phoenix Downtown,https://www.tripadvisor.in/Hotel_Review-g31310-d73757-Reviews-Renaissance_Phoenix_Downtown-Phoenix_Arizona.html
20,Days Inn Camelback Phoenix and Conference Center,https://www.tripadvisor.in/Hotel_Review-g31310-d73760-Reviews-Days_Inn_Camelback_Phoenix_and_Conference_Center-Phoenix_Arizona.html
21,Days Inn I-17 & Thomas,https://www.tripadvisor.in/Hotel_Review-g31310-d73768-Reviews-Days_Inn_I_17_Thomas-Phoenix_Arizona.html
22,Americas Best Value Inn Phoenix/I-10 West,https://www.tripadvisor.in/Hotel_Review-g31310-d73773-Reviews-Americas_Best_Value_Inn_Phoenix_I_10_West-Phoenix_Arizona.html
